id,click,hour,C1,banner_pos,site_id,site_domain,site_category,app_id,app_domain,app_category,device_id,device_ip,device_model,device_type,device_conn_type,C14,C15,C16,C17,C18,C19,C20,C21
12785187814479800000,0,14102612,1010,1,85f751fd,c4e18dd6,50e219e0,80b6a585,7801e8d9,d1327cf5,9e4af131,6cef8e7e,36b67a2a,4,0,20294,320,50,2325,3,801,-1,42
10880098121384500000,0,14102623,1005,0,85f751fd,c4e18dd6,50e219e0,98fed791,d9b5648e,0f2161f8,a99f214a,b53db4d2,aad45b01,1,0,20508,320,50,2351,3,163,-1,61
2820124701408950000,1,14102906,1005,1,17caea14,0dde25ec,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,96971f74,8a4875bd,1,0,21893,320,50,2526,0,167,100074,221
298257400964858000,0,14102519,1005,0,85f751fd,c4e18dd6,50e219e0,92f5800b,ae637522,0f2161f8,a99f214a,687ccff9,0bcabeaf,1,3,21191,320,50,2424,1,161,100191,71
7720309351016400000,1,14102907,1005,0,85f751fd,c4e18dd6,50e219e0,e2fcccd2,5c5a694b,0f2161f8,a99f214a,6581ccc2,1f0bc64f,1,0,23635,320,50,2708,2,35,-1,23
4188466195014920000,0,14102218,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,3d13e370,24f6b932,1,0,15702,320,50,1722,0,35,-1,79
5005250857987220000,1,14102509,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,984f88fa,0eb711ec,1,0,15699,320,50,1722,0,35,100084,79
8952604094318390000,0,14102706,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,418bc4a2,d787e91b,1,0,20108,320,50,2299,2,1327,-1,52
17483741759695100000,0,14102413,1005,0,85f751fd,c4e18dd6,50e219e0,3f2a6cbb,33da2e74,cef3e649,a99f214a,285aa37d,bb2ea497,1,0,22288,320,50,2572,3,41,100156,42
10763919983442600000,0,14102611,1005,0,85f751fd,c4e18dd6,50e219e0,be7bbf93,2347f47a,cef3e649,0db3cea3,0d6cca4b,1f0bc64f,1,0,377,320,50,112,3,1319,-1,15
